Date,POS Claims Amt (USD)
2019-06-02 00:00:00,10753
2019-06-03 00:00:00,1281271
2019-06-04 00:00:00,1210867
2019-06-05 00:00:00,1134091
2019-06-06 00:00:00,950398
2019-06-07 00:00:00,835948
2019-06-08 00:00:00,4630
2019-06-10 00:00:00,1137669
2019-06-11 00:00:00,1004005
2019-06-12 00:00:00,886368
2019-06-13 00:00:00,1507247
2019-06-14 00:00:00,986828
2019-06-15 00:00:00,2840
2019-06-17 00:00:00,907081
2019-06-18 00:00:00,1499624
2019-06-19 00:00:00,1192071
2019-06-20 00:00:00,982255
2019-06-21 00:00:00,1292929
2019-06-22 00:00:00,-5106
2019-06-24 00:00:00,1005751
2019-06-25 00:00:00,1628925
2019-06-26 00:00:00,1023329
2019-06-27 00:00:00,2449879
2019-06-28 00:00:00,1818419
2019-06-29 00:00:00,106547
2019-06-30 00:00:00,410868
2019-07-01 00:00:00,865619
2019-07-02 00:00:00,987908
2019-07-03 00:00:00,983427
2019-07-04 00:00:00,1259963
2019-07-05 00:00:00,855023
2019-07-06 00:00:00,-4411
2019-07-08 00:00:00,729148
2019-07-09 00:00:00,748247
2019-07-10 00:00:00,1274670
2019-07-11 00:00:00,1039450
2019-07-12 00:00:00,1109666
2019-07-13 00:00:00,16365
2019-07-15 00:00:00,1175012
2019-07-16 00:00:00,1137504
2019-07-17 00:00:00,1344447
2019-07-18 00:00:00,1257831
2019-07-19 00:00:00,1017821
2019-07-20 00:00:00,8265
2019-07-21 00:00:00,-114
2019-07-22 00:00:00,1358771
2019-07-23 00:00:00,1443398
2019-07-24 00:00:00,1485834
2019-07-25 00:00:00,1052283
2019-07-26 00:00:00,1955072
2019-07-27 00:00:00,26467
2019-07-29 00:00:00,1034066
2019-07-30 00:00:00,1505235
2019-07-31 00:00:00,5074584
2019-08-01 00:00:00,-523213
2019-08-02 00:00:00,1080509
2019-08-03 00:00:00,14355
2019-08-05 00:00:00,1081071
2019-08-06 00:00:00,974758
2019-08-07 00:00:00,1181680
2019-08-08 00:00:00,1037260
2019-08-09 00:00:00,1350085
2019-08-10 00:00:00,25340
2019-08-12 00:00:00,864244
2019-08-13 00:00:00,1144731
2019-08-14 00:00:00,1525031
2019-08-15 00:00:00,1190444
2019-08-16 00:00:00,729755
2019-08-17 00:00:00,12828
2019-08-19 00:00:00,707495
2019-08-20 00:00:00,864544
2019-08-21 00:00:00,1216124
2019-08-22 00:00:00,1531672
2019-08-23 00:00:00,2838735
2019-08-24 00:00:00,2435
2019-08-26 00:00:00,890812
2019-08-27 00:00:00,1162163
2019-08-28 00:00:00,2035726
2019-08-29 00:00:00,1417768
2019-08-30 00:00:00,1268668
2019-08-31 00:00:00,1152233
2019-09-01 00:00:00,-23630
2019-09-02 00:00:00,1232021
2019-09-03 00:00:00,826153
2019-09-04 00:00:00,1388376
2019-09-05 00:00:00,990247
2019-09-06 00:00:00,961796
2019-09-07 00:00:00,3312
2019-09-09 00:00:00,1258923
2019-09-10 00:00:00,1047718
2019-09-11 00:00:00,1412910
2019-09-12 00:00:00,838459
2019-09-13 00:00:00,1442554
2019-09-14 00:00:00,11618
2019-09-16 00:00:00,626803
2019-09-17 00:00:00,699627
2019-09-18 00:00:00,1448386
2019-09-19 00:00:00,1444410
2019-09-20 00:00:00,1503230
2019-09-21 00:00:00,205620
2019-09-23 00:00:00,1685896
2019-09-24 00:00:00,1826781
2019-09-25 00:00:00,1512149
2019-09-26 00:00:00,1354592
2019-09-27 00:00:00,1867907
2019-09-28 00:00:00,381375
2019-09-30 00:00:00,6168457
2019-10-01 00:00:00,1190014
2019-10-02 00:00:00,1029565
2019-10-03 00:00:00,1224086
2019-10-04 00:00:00,844937
2019-10-05 00:00:00,3657
2019-10-07 00:00:00,1012075
2019-10-08 00:00:00,1119892
2019-10-09 00:00:00,905761
2019-10-10 00:00:00,914008
2019-10-11 00:00:00,1048577
2019-10-12 00:00:00,21937
2019-10-14 00:00:00,859358
2019-10-15 00:00:00,1418116
2019-10-16 00:00:00,836966
2019-10-17 00:00:00,1532522
2019-10-18 00:00:00,1060048
2019-10-19 00:00:00,8333
2019-10-21 00:00:00,1095148
2019-10-22 00:00:00,1463949
2019-10-23 00:00:00,1279172
2019-10-24 00:00:00,1117013
2019-10-25 00:00:00,1250959
2019-10-26 00:00:00,46800
2019-10-28 00:00:00,1583175
2019-10-29 00:00:00,1134281
2019-10-30 00:00:00,1784633
2019-10-31 00:00:00,2909013
2019-11-01 00:00:00,1186280
2019-11-02 00:00:00,16500
2019-11-04 00:00:00,753876
2019-11-05 00:00:00,1383877
2019-11-06 00:00:00,1213106
2019-11-07 00:00:00,1608908
2019-11-08 00:00:00,1198118
2019-11-09 00:00:00,2908
2019-11-11 00:00:00,779982
2019-11-12 00:00:00,1541428
2019-11-13 00:00:00,1158049
2019-11-14 00:00:00,1668953
2019-11-15 00:00:00,885211
2019-11-16 00:00:00,16217
2019-11-18 00:00:00,667737
2019-11-19 00:00:00,1278205
2019-11-20 00:00:00,1315282
2019-11-21 00:00:00,2503616
2019-11-22 00:00:00,1733734
2019-11-23 00:00:00,24
2019-11-25 00:00:00,1850527
2019-11-26 00:00:00,1118154
2019-11-27 00:00:00,2787040
2019-11-28 00:00:00,1894901
2019-11-29 00:00:00,2537702
2019-11-30 00:00:00,570796
2019-12-01 00:00:00,-14311
2019-12-02 00:00:00,1383813
2019-12-03 00:00:00,939564
2019-12-04 00:00:00,1437851
2019-12-05 00:00:00,957415
2019-12-06 00:00:00,1397122
2019-12-07 00:00:00,4743
2019-12-09 00:00:00,1007706
2019-12-10 00:00:00,1285756
2019-12-11 00:00:00,1479980
2019-12-12 00:00:00,1302163
2019-12-13 00:00:00,1496091
2019-12-14 00:00:00,802
2019-12-15 00:00:00,479
2019-12-16 00:00:00,967505
2019-12-17 00:00:00,2172147
2019-12-18 00:00:00,1365871
2019-12-19 00:00:00,2477968
2019-12-20 00:00:00,1374382
2019-12-21 00:00:00,2273
2019-12-22 00:00:00,1251
2019-12-23 00:00:00,746873
2019-12-24 00:00:00,307771
2019-12-25 00:00:00,34825
2019-12-26 00:00:00,920639
2019-12-27 00:00:00,573848
2019-12-28 00:00:00,8709
2019-12-30 00:00:00,1725683
2019-12-31 00:00:00,963696
2020-01-01 00:00:00,-32849
2020-01-02 00:00:00,1568918
2020-01-03 00:00:00,1354729
2020-01-04 00:00:00,104273
2020-01-06 00:00:00,1065242
2020-01-07 00:00:00,1231482
2020-01-08 00:00:00,1253491
2020-01-09 00:00:00,967678
2020-01-10 00:00:00,1143800
2020-01-11 00:00:00,-30202
2020-01-13 00:00:00,1504033
2020-01-14 00:00:00,881586
2020-01-15 00:00:00,1158589
2020-01-16 00:00:00,1271474
2020-01-17 00:00:00,857861
2020-01-18 00:00:00,3419
2020-01-20 00:00:00,1433590
2020-01-21 00:00:00,792977
2020-01-22 00:00:00,1044705
2020-01-23 00:00:00,834203
2020-01-24 00:00:00,1029384
2020-01-25 00:00:00,14725
2020-01-26 00:00:00,1178
2020-01-27 00:00:00,1359660
2020-01-28 00:00:00,979589
2020-01-29 00:00:00,1817318
2020-01-30 00:00:00,1248782
2020-01-31 00:00:00,2624763
2020-02-01 00:00:00,-30654
2020-02-02 00:00:00,737
2020-02-03 00:00:00,349823
2020-02-04 00:00:00,963516
2020-02-05 00:00:00,1030060
2020-02-06 00:00:00,1141728
2020-02-07 00:00:00,949390
2020-02-08 00:00:00,6038
2020-02-10 00:00:00,1073441
2020-02-11 00:00:00,1120343
2020-02-12 00:00:00,1241165
2020-02-13 00:00:00,1053410
2020-02-14 00:00:00,862313
2020-02-15 00:00:00,8898
2020-02-17 00:00:00,2846142
2020-02-18 00:00:00,844419
2020-02-19 00:00:00,934078
2020-02-20 00:00:00,7219126
2020-02-21 00:00:00,13382747
2020-02-22 00:00:00,7712
2020-02-24 00:00:00,96284799
2020-02-25 00:00:00,36906897
2020-02-26 00:00:00,83948337
2020-02-27 00:00:00,4579526
2020-02-28 00:00:00,-234883110
2020-02-29 00:00:00,52222998
2020-03-01 00:00:00,-12213
2020-03-02 00:00:00,814955
2020-03-03 00:00:00,716678
2020-03-04 00:00:00,980522
2020-03-05 00:00:00,926656
2020-03-06 00:00:00,1155192
2020-03-07 00:00:00,100218
2020-03-09 00:00:00,432371
2020-03-10 00:00:00,1118545
2020-03-11 00:00:00,733133
2020-03-12 00:00:00,547085
2020-03-13 00:00:00,740842
2020-03-14 00:00:00,172086
2020-03-16 00:00:00,857934
2020-03-17 00:00:00,1060438
2020-03-18 00:00:00,1079598
2020-03-19 00:00:00,1055007
2020-03-20 00:00:00,1338719
2020-03-21 00:00:00,32808
2020-03-23 00:00:00,2134884
2020-03-24 00:00:00,688437
2020-03-25 00:00:00,-342909430
2020-03-26 00:00:00,965080
2020-03-27 00:00:00,1457387
2020-03-28 00:00:00,5438
2020-03-30 00:00:00,1406212
2020-03-31 00:00:00,346215389
2020-04-01 00:00:00,1037146
2020-04-02 00:00:00,826591
2020-04-03 00:00:00,643530
2020-04-04 00:00:00,83981
2020-04-06 00:00:00,649097
2020-04-07 00:00:00,651750
2020-04-08 00:00:00,554970
2020-04-09 00:00:00,162698
2020-04-10 00:00:00,2275
2020-04-13 00:00:00,659504
2020-04-14 00:00:00,1078857
2020-04-15 00:00:00,768259
2020-04-16 00:00:00,942324
2020-04-17 00:00:00,749748
2020-04-18 00:00:00,3090
2020-04-20 00:00:00,178043
2020-04-21 00:00:00,557953
2020-04-22 00:00:00,777658
2020-04-23 00:00:00,1011094
2020-04-24 00:00:00,868996
2020-04-25 00:00:00,2515
2020-04-27 00:00:00,770476
2020-04-28 00:00:00,1017054
2020-04-29 00:00:00,880611
2020-04-30 00:00:00,-49144730
2020-05-01 00:00:00,177810
2020-05-02 00:00:00,5422
2020-05-04 00:00:00,739459
2020-05-05 00:00:00,855403
2020-05-06 00:00:00,650683
2020-05-07 00:00:00,658407
2020-05-08 00:00:00,461429
2020-05-09 00:00:00,2047
2020-05-10 00:00:00,18613
2020-05-11 00:00:00,840718
2020-05-12 00:00:00,1189046
2020-05-13 00:00:00,1506335
2020-05-14 00:00:00,949154
2020-05-15 00:00:00,718064
2020-05-16 00:00:00,10015
2020-05-18 00:00:00,608022
2020-05-19 00:00:00,497240
2020-05-20 00:00:00,1009774
2020-05-21 00:00:00,700505
2020-05-22 00:00:00,726654
2020-05-23 00:00:00,8
2020-05-24 00:00:00,758
2020-05-25 00:00:00,604292
2020-05-26 00:00:00,1295920
2020-05-27 00:00:00,12484154
2020-05-28 00:00:00,-8909100
2020-05-29 00:00:00,724204
2020-05-30 00:00:00,-5977
2020-05-31 00:00:00,-117994
2020-06-01 00:00:00,809096
2020-06-02 00:00:00,1304639
2020-06-03 00:00:00,689664
2020-06-04 00:00:00,871966
2020-06-05 00:00:00,555080
2020-06-06 00:00:00,14875
2020-06-08 00:00:00,898485
2020-06-09 00:00:00,940173
2020-06-10 00:00:00,749813
2020-06-11 00:00:00,1145203
2020-06-12 00:00:00,878920
2020-06-13 00:00:00,581
2020-06-15 00:00:00,822014
2020-06-16 00:00:00,1180744
2020-06-17 00:00:00,1042966
2020-06-18 00:00:00,991649
2020-06-19 00:00:00,949839
2020-06-20 00:00:00,7625
2020-06-22 00:00:00,1056826
2020-06-23 00:00:00,1310860
2020-06-24 00:00:00,1024689
2020-06-25 00:00:00,1567183
2020-06-26 00:00:00,747344
2020-06-27 00:00:00,6524
2020-06-29 00:00:00,1064539
2020-06-30 00:00:00,5787871
2020-07-01 00:00:00,1335751
2020-07-02 00:00:00,824063
2020-07-03 00:00:00,905575
2020-07-04 00:00:00,4725
2020-07-06 00:00:00,1131448
2020-07-07 00:00:00,677581
2020-07-08 00:00:00,834558
2020-07-09 00:00:00,948692
2020-07-10 00:00:00,758014
2020-07-11 00:00:00,2562
2020-07-12 00:00:00,11266
2020-07-13 00:00:00,848413
2020-07-14 00:00:00,942393
2020-07-15 00:00:00,1027983
2020-07-16 00:00:00,992935
2020-07-17 00:00:00,776185
2020-07-18 00:00:00,4065
2020-07-19 00:00:00,6152
2020-07-20 00:00:00,844904
2020-07-21 00:00:00,908512
2020-07-22 00:00:00,1152801
2020-07-23 00:00:00,1021846
2020-07-24 00:00:00,834006
2020-07-25 00:00:00,17453
2020-07-27 00:00:00,878151
2020-07-28 00:00:00,1061212
2020-07-29 00:00:00,1125678
2020-07-30 00:00:00,943356
2020-07-31 00:00:00,2070780
2020-08-01 00:00:00,3676
2020-08-03 00:00:00,1089729
2020-08-04 00:00:00,919487
2020-08-05 00:00:00,969890
2020-08-06 00:00:00,1030176
2020-08-07 00:00:00,889405
2020-08-08 00:00:00,4776
2020-08-10 00:00:00,941038
2020-08-11 00:00:00,1118369
2020-08-12 00:00:00,913892
2020-08-13 00:00:00,1028958
2020-08-14 00:00:00,1272573
2020-08-15 00:00:00,-6006
2020-08-17 00:00:00,565592
2020-08-18 00:00:00,1627442
2020-08-19 00:00:00,1019502
2020-08-20 00:00:00,1059620
2020-08-21 00:00:00,1387691
2020-08-22 00:00:00,44055
2020-08-24 00:00:00,1050093
2020-08-25 00:00:00,1375944
2020-08-26 00:00:00,1052138
2020-08-27 00:00:00,1079407
2020-08-28 00:00:00,2220624
2020-08-29 00:00:00,461
2020-08-31 00:00:00,553062
2020-09-01 00:00:00,1665506
2020-09-02 00:00:00,1466396
2020-09-03 00:00:00,1196318
2020-09-04 00:00:00,959158
2020-09-05 00:00:00,6187
2020-09-07 00:00:00,834413
2020-09-08 00:00:00,945619
2020-09-09 00:00:00,1212974
2020-09-10 00:00:00,863866
2020-09-11 00:00:00,1212728
2020-09-12 00:00:00,-1074
2020-09-14 00:00:00,1057098
2020-09-15 00:00:00,1136953
2020-09-16 00:00:00,626365
2020-09-17 00:00:00,1264873
2020-09-18 00:00:00,1070101
2020-09-19 00:00:00,6875
2020-09-21 00:00:00,1554137
2020-09-22 00:00:00,1277154
2020-09-23 00:00:00,2475690
2020-09-24 00:00:00,1804324
2020-09-25 00:00:00,2210731
2020-09-26 00:00:00,3901
2020-09-28 00:00:00,980930
2020-09-29 00:00:00,1153811
2020-09-30 00:00:00,3275164
2020-10-01 00:00:00,1117575
2020-10-02 00:00:00,763491
2020-10-03 00:00:00,4
2020-10-05 00:00:00,1140969
2020-10-06 00:00:00,1119862
2020-10-07 00:00:00,838025
2020-10-08 00:00:00,1093861
2020-10-09 00:00:00,1119201
2020-10-10 00:00:00,1247
2020-10-11 00:00:00,76
2020-10-12 00:00:00,381368
2020-10-13 00:00:00,911375
2020-10-14 00:00:00,1143265
2020-10-15 00:00:00,1201776
2020-10-16 00:00:00,773029
2020-10-17 00:00:00,2238
2020-10-19 00:00:00,631512
2020-10-20 00:00:00,1293486
2020-10-21 00:00:00,1148456
2020-10-22 00:00:00,1201129
2020-10-23 00:00:00,792478
2020-10-26 00:00:00,2322664
2020-10-27 00:00:00,1552735
2020-10-28 00:00:00,1203443
2020-10-29 00:00:00,1202277
2020-10-30 00:00:00,-1400344
2020-10-31 00:00:00,134038
2020-11-01 00:00:00,0
2020-11-02 00:00:00,844983
2020-11-03 00:00:00,2972372
2020-11-04 00:00:00,3391542
2020-11-05 00:00:00,11438570
2020-11-06 00:00:00,4227669
2020-11-07 00:00:00,160724
2020-11-08 00:00:00,5323
2020-11-09 00:00:00,8033530
2020-11-10 00:00:00,14574890
2020-11-11 00:00:00,4088356
2020-11-12 00:00:00,5497146
2020-11-13 00:00:00,6360571
2020-11-14 00:00:00,6482
2020-11-16 00:00:00,2855657
2020-11-17 00:00:00,4182416
2020-11-18 00:00:00,4191565
2020-11-19 00:00:00,12019056
2020-11-20 00:00:00,2022045
2020-11-21 00:00:00,96720
2020-11-23 00:00:00,1447403
2020-11-24 00:00:00,1745714
2020-11-25 00:00:00,37642457
2020-11-26 00:00:00,1420265
2020-11-27 00:00:00,2818540
2020-11-28 00:00:00,64995
2020-11-30 00:00:00,-98439907
2020-12-01 00:00:00,1647968
2020-12-02 00:00:00,877509
2020-12-03 00:00:00,1354852
2020-12-04 00:00:00,1141699
2020-12-05 00:00:00,-9860
2020-12-07 00:00:00,1113834
2020-12-08 00:00:00,1169084
2020-12-09 00:00:00,2151211
2020-12-10 00:00:00,2082859
2020-12-11 00:00:00,1593968
2020-12-12 00:00:00,8333
2020-12-13 00:00:00,-773
2020-12-14 00:00:00,1995940
2020-12-15 00:00:00,1912926
2020-12-16 00:00:00,3107296
2020-12-17 00:00:00,2616192
2020-12-18 00:00:00,1382690
2020-12-19 00:00:00,69320
2020-12-20 00:00:00,54
2020-12-21 00:00:00,1517186
2020-12-22 00:00:00,1249915
2020-12-23 00:00:00,2235617
2020-12-24 00:00:00,229255
2020-12-26 00:00:00,17271
2020-12-28 00:00:00,906363
2020-12-29 00:00:00,706005
2020-12-30 00:00:00,2141866
2020-12-31 00:00:00,583392
2021-01-01 00:00:00,4485
2021-01-02 00:00:00,1449
2021-01-04 00:00:00,1695134
2021-01-05 00:00:00,1525831
2021-01-06 00:00:00,1182739
2021-01-07 00:00:00,997394
2021-01-08 00:00:00,1489980
2021-01-09 00:00:00,349832
2021-01-11 00:00:00,1238455
2021-01-12 00:00:00,968157
2021-01-13 00:00:00,1023421
2021-01-14 00:00:00,1461425
2021-01-15 00:00:00,854727
2021-01-16 00:00:00,31569
2021-01-18 00:00:00,1253342
2021-01-19 00:00:00,1094268
2021-01-20 00:00:00,685630
2021-01-21 00:00:00,1708391
2021-01-22 00:00:00,1442888
2021-01-23 00:00:00,64221
2021-01-25 00:00:00,1411384
2021-01-26 00:00:00,816681
2021-01-27 00:00:00,1498204
2021-01-28 00:00:00,1353274
2021-01-29 00:00:00,1256864
2021-01-30 00:00:00,39929
2021-01-31 00:00:00,1110211
2021-02-01 00:00:00,579345
2021-02-02 00:00:00,1133613
2021-02-03 00:00:00,1084016
2021-02-04 00:00:00,1274177
2021-02-05 00:00:00,1278751
2021-02-06 00:00:00,7040
2021-02-07 00:00:00,-24
2021-02-08 00:00:00,1144099
2021-02-09 00:00:00,1240767
2021-02-10 00:00:00,972573
2021-02-11 00:00:00,1089837
2021-02-12 00:00:00,1151073
2021-02-13 00:00:00,9465
2021-02-15 00:00:00,754162
2021-02-16 00:00:00,902331
2021-02-17 00:00:00,1559077
2021-02-18 00:00:00,1009659
2021-02-19 00:00:00,1180688
2021-02-20 00:00:00,346090
2021-02-22 00:00:00,1412137
2021-02-23 00:00:00,1335283
2021-02-24 00:00:00,1257606
2021-02-25 00:00:00,1845675
2021-02-26 00:00:00,1307103
2021-02-27 00:00:00,170025
2021-02-28 00:00:00,-144449
2021-03-01 00:00:00,990948
2021-03-02 00:00:00,705006
2021-03-03 00:00:00,832671
2021-03-04 00:00:00,1436705
2021-03-05 00:00:00,1602667
2021-03-06 00:00:00,12337
2021-03-08 00:00:00,1209999
2021-03-09 00:00:00,1002800
2021-03-10 00:00:00,1101931
2021-03-11 00:00:00,1296125
2021-03-12 00:00:00,1617185
2021-03-13 00:00:00,11641
2021-03-15 00:00:00,1035195
2021-03-16 00:00:00,1171140
2021-03-17 00:00:00,1531781
2021-03-18 00:00:00,1427020
2021-03-19 00:00:00,1453752
2021-03-20 00:00:00,63622
2021-03-21 00:00:00,-2384
2021-03-22 00:00:00,1881446
2021-03-23 00:00:00,1538697
2021-03-24 00:00:00,1674325
2021-03-25 00:00:00,1208509
2021-03-26 00:00:00,860933
2021-03-27 00:00:00,1536
2021-03-29 00:00:00,1008410
2021-03-30 00:00:00,-27191
2021-03-31 00:00:00,1405031
2021-04-01 00:00:00,687916
2021-04-02 00:00:00,17226
2021-04-03 00:00:00,23392
2021-04-05 00:00:00,1160835
2021-04-06 00:00:00,1082321
2021-04-07 00:00:00,1041187
2021-04-08 00:00:00,1627471
2021-04-09 00:00:00,963000
2021-04-10 00:00:00,11607
2021-04-11 00:00:00,22830
2021-04-12 00:00:00,1032119
2021-04-13 00:00:00,1516198
2021-04-14 00:00:00,1304853
2021-04-15 00:00:00,1289642
2021-04-16 00:00:00,1367480
2021-04-17 00:00:00,25888
2021-04-19 00:00:00,1692798
2021-04-20 00:00:00,1006045
2021-04-21 00:00:00,3082683
2021-04-22 00:00:00,1387615
2021-04-23 00:00:00,1504446
2021-04-24 00:00:00,12032994
2021-04-26 00:00:00,1249763
2021-04-27 00:00:00,1422459
2021-04-28 00:00:00,1526349
2021-04-29 00:00:00,1253258
2021-04-30 00:00:00,-10561401
2021-05-01 00:00:00,4665
2021-05-02 00:00:00,9608
2021-05-03 00:00:00,1024736
2021-05-04 00:00:00,1348415
2021-05-05 00:00:00,1441725
2021-05-06 00:00:00,1032139
2021-05-07 00:00:00,1032945
